2021-1-13清洗3#、4#、5#过滤器                                       0:49分再生3#阳床，进酸浓度：3.0% 2.8%                   3：00分再生3#阴床，进碱浓度：3.0% 3.0%      5:35分中和排水（PH：1# 7.41  2# 6.64 ）  ,2021-1-13清洗4#、5#过滤器 ,2021-1-1317:12分再生2#阳床，进酸浓度：3.0% 2.8% 
2021-1-14清洗3#、4#、5#过滤器    ,2021-1-1414:20分再生2#阴床，进碱浓度：3.2% 3.0%    ,2021-1-1416:30分中和排水（PH 1# 7.4 2# 7.8）            18:50分再生3#阳床，进酸浓度：3.0% 3.0%         21:24分再生1#阳床，进酸浓度：2.8% 2.8%         23:42分中和排水（PH 1# 8.5 2# 8.6）
2021-1-1501:50分再生2#阳床，进酸浓度：3.0% 3.0%        04:45分再生1#阴床，进碱浓度：3.2% 3.0%         07:20分中和排水（PH 1# 8.5 2# 8.6）,2021-1-15清洗5#过滤器                              10:20分再生2#混床，进碱浓度：3.0% 3.0%        15:10分中和排水（PH 1# 7.5 2# 7.6）,2021-1-1517:01分再生1#阳床，进酸浓度：3.0% 3.0%        20:18分再生2#阳床，进酸浓度：3.1% 3.0%         22:07分中和排水（PH 1# 8.5 2# 7.4）
2021-1-16清洗1#、3#、4#、5#过滤器                   07:48分再生3#阳床，进酸浓度：3.1% 3.0% ,2021-1-16清洗3#、4#、5#过滤器                            14:15分置换1#阳床，进酸浓度：4.1% 4.0% ,2021-1-16清洗2#、5#过滤器                                 17:40分再生3#阴床，进碱浓度：3.0% 3.0%                    20:40分中和排水（PH 1# 8.5 2# 7.4）             22:10分再生1#阳床，进酸浓度：3.1% 3.0%         
2021-1-17清洗1#、2#、3#、4#、5#过滤器                                 01:26分再生2#阳床，进酸浓度：3.0% 3.1%                    04:40分中和排水（PH 1# 8.5 2# 7.4）             ,2021-1-17清洗5#过滤器                                     12:42分再生3#阳床，进酸浓度：3.0% 3.1% ,2021-1-17清洗1#、2#、3#、4#、5#过滤器                            22:00分再生2#阴床，进碱浓度：3.0% 3.0%  
2021-1-18清洗1#、2#、3#、4#、5#过滤器               01:04分中和排水（PH 1# 8.5 2# 8.9）,2021-1-18清洗4#、5#过滤器                                     08:30分再生3#阳床，进酸浓度：3.0% 3.1%                                    14:43分再生2#阳床，进酸浓度：3.0% 3.2% ,2021-1-18清洗3#、4#、5#过滤器                       16:34分中和排水（PH 1# 8.5 2# 8.9）
2021-1-19清洗1#过滤器,2021-1-19清洗4#过滤器                                       ,2021-1-19清洗5#过滤器                                       16:42分再生1#阴床，进碱浓度：3.0% 3.0%           19:10分中和排水（PH 1# 8.9 2# 8.8）                 20:35分再生2#阳床，进酸浓度：3.0% 3.1%              20:52分再生3#阴床，进碱浓度：3.0% 3.0%                  22:50分中和排水（PH 1# 9.4 2# 9.3）
2021-1-20清洗1#、3#、4#过滤器                                       04:13分再生3#阳床，进酸浓度：3.0% 3.0%           ,2021-1-20清洗4#、5#过滤器,2021-1-20清洗3#、4#、5#过滤器
2021-1-21清洗1#、2#、3#过滤器,"2021-1-21清洗4#、5#过滤器
11:00再生2#阴床，进碱浓度：3.0% 3.2%   ",2021-1-21清洗1#、2#过滤器
2021-1-22清洗5#过滤器                                                      4:40分再生2#阳床，进酸浓度：3.0% 3.1%                             7:05分中和排水（PH 1# 8.66 2# 7.89）,2021-1-22清洗4#、5#过滤器    ,2021-1-22清洗3#、4#、5#过滤器    
2021-1-2300:35分再生3#阳床，进酸浓度：3.0% 3.1%       清洗1#、3#、4#、5#过滤器,2021-1-23清洗5#过滤器                               12:56分再生1#阴床，进碱浓度：3.0% 3.0%      15:05分中和排水（PH 1# 8.66 2# 7.89）,2021-1-23因停锅炉给水泵，上班已加药未补水，开泵后直接补水即可，各班注意。                           清洗3#、4#、5#过滤器                               16:58分再生1#混床，进酸浓度：3.0% 3.0%，进碱浓度：3.0% 3.0%                              20:53分中和排水（PH 1# 6.14 2# 5.78）
2021-1-2400:20分再生1#阳床，进酸浓度：3.0% 3.1%       磷酸盐槽已加药未补水，待水泵开启补水即可。,2021-1-24清洗4#、5#过滤器                                磷酸盐槽已加药未补水，待水泵开启补水即可。,2021-1-2418:13分再生3#阴床，进碱浓度：2.9% 3.0%      20:05分中和排水（PH 1# 8.14 2# 6.32）      22:40分再生2#阳床，进酸浓度：3.0% 3.1%       磷酸盐槽已加药未补水，待水泵开启补水即可。
2021-1-25清洗1#、2#、3#、4#、5#过滤器               01:18分再生1#阴床，进碱浓度：3.1% 3.0%                         03:50分中和排水（PH 1# 7.98 2# 7.94）     07:00分再生1#阳床，进酸浓度：3.0% 3.3%                                     磷酸盐槽已加药未补水，待水泵开启补水即可。,2021-1-25清洗4#、5#过滤器                                 10:07分再生2#阳床，进酸浓度：3.0% 3.3%           14:30分中和排水（PH 1# 7.98 2# 7.94）                            ,2021-1-25清洗1#、2#、3#、4#、5#过滤器               20:58分再生3#阳床，进酸浓度：3.0% 3.3%
2021-1-26清洗3#过滤器                                 磷酸盐槽已加药已补水，待水泵开启即可。,2021-1-2612:13分再生2#阴床，进碱浓度：2.8%，2.8%。  14:35分中和排水（PH 1# 7.1 2# 8.2）,2021-1-26清洗1#、2#、3#、4#、5#过滤器               17:15分再生1#阳床，进酸浓度：3.0% 3.1%
,2021-1-27清洗4#、5#过滤器 ,2021-1-2719:40分再生3#阴床，进碱浓度：2.9%，2.8%              21:40分中和排水（PH 1# 9.2 2# 9.0）                  23:04分再生2#阳床，进酸浓度：3.0%，3.1%
2021-1-2801:26分再生2#阴床，进碱浓度：3.0%，2.9%              04:06分中和排水（PH 1# 6.4 2# 8.7）                  ,2021-1-2809:33分再生1#阳床，进酸浓度：3.0%，3.3%     12:14分再生3#阳床，进酸浓度：2.9%，3.1%    14：58分中和排水（PH 1# 7.84 2# 8.05） ,2021-1-2821:08分再生1#阴床，进碱浓度：2.8%，2.8%。
2021-1-2901:22分再生2#阳床，进酸浓度：3.0%，3.3%       04:06分中和排水（PH 1# 6.4 2# 8.7）,2021-1-29清洗5#过滤器 ,2021-1-2919：18分再生1#阳床，进酸浓度：3.2%，3.1%       22:23分再生3#混床，进酸浓度：3.0% 3.0%，进碱浓度：3.0% 3.3%   
2021-1-3001:35分中和排水（PH 1# 6.1 2# 8.3）                    5：25分再生3#阳床，进酸浓度：3.2%，3.1%                 清洗4#、5#过滤器 ,2021-1-30根据水质，微开紧排至交班。,2021-1-30清洗1#、2#  3#过滤器 
2021-2-100:54分再生1#阴床，进碱浓度：3.0%，3.1%         03:30分中和排水（PH 1# 8.41 2# 7.9）        04:20分再生1#阳床，进酸浓度：3.2%，3.1%       洗3#、4#、5#过滤器 ,2021-2-1洗4#、5#过滤器 ,2021-2-1清洗3#过滤器
2021-2-2清洗1#、2#、3#过滤器                               05:22分再生3#阳床，进酸浓度：3.3%，3.1%     7:48中和排水（PH 1# 8.41 2# 7.9）,2021-2-208:30再生2#阳床，进酸浓度：3.0%，3.1% ,2021-2-2清洗3#、4#、5#过滤器                       20:45分再生2#阴床，进碱浓度：3.0%，3.1%     22:50中和排水（PH 1# 7.41 2# 7.9）
2021-2-3清洗1#、2#、3#过滤器                       00:48再生3#阳床进酸浓度：3.0%，3.3%            03:10再生1#阳床进酸浓度：2.9%，3.1%            06:01中和排水（PH 1# 7.79 2# 8.25）,2021-2-3清洗4#、5#过滤器,2021-2-3清洗4#过滤器                               20:29分再生3#阴床，进碱浓度：3.0%，3.1%      加药泵已停
2021-2-4清洗1#过滤器                               00:37再生2#阳床，进酸浓度：3.0%，3.0%                        02:50中和排水（PH 1# 8.26 2# 7.52）          1#混床再生时置换漏树脂，待处理,,2021-2-419:10分再生1#阴床，进碱浓度：3.0%，3.0%。     21:54分再生1#阳床，进酸浓度：3.2%，3.2%。
2021-2-5                                                      00:09中和排水（PH 1# 8.46 2# 6.84）       04:31再生3#阳床，进酸浓度：3.0%，3.0%          1#混床再生时置换漏树脂，待处理,2021-2-5清洗4#、5#过滤器                               12:31再生3#阴床，进碱浓度：3.0%，3.1%         15:45中和排水（PH 1# 8.41 2# 7.90）    ,2021-2-518:34分再生1#混床，进碱浓度：3.0%，3.0%，进酸浓度：3.2%，3.2%。                                   22:15分中和排水（PH 1# 7.5 2# 7.90）                                    23：20分再生1#阳床，进酸浓度：3.0%，3.0%
2021-2-6清洗1#、2#、3#、4#、5#过滤器 ,2021-2-613:10再生2#阴床，进碱浓度：3.0%，3.0%,2021-2-6清洗1#过滤器                               16：23分中和排水（PH 1# 7.23 2# 7.69）                               18：40分再生2#阳床，进酸浓度：3.1%，2.9%                              20：47再生3#阴床，进碱浓度：3.1%，3.3%      23：16分中和排水（PH 1# 8.62 2# 7.98）
2021-2-7清洗3#过滤器                               4:25分再生3#阳床，进酸浓度：3.1%，2.9%                                ,"2021-2-7清洗4#、5#过滤器  
8:40分再生1#阳床，进酸浓度：3.0%，2.9%                           12:30分中和排水（PH 1# 8.5 2#8.11）",2021-2-7清洗1#、2#、3#、4#、5#过滤器
2021-2-800:45分再生3#阳床，进酸浓度：3.1%，2.9%  ,2021-2-8清洗4#、5#过滤器                             10:10分再生1#阴床，进碱浓度：3.0%，3.1%   14:50中和排水（PH 1# 8.41 2# 7.90）    ,2021-2-8清洗4#、5#过滤器                             18：39分再生2#阳床，进酸浓度：3.0%，3.1%   21:24分再生2#混床，进碱浓度：3.0%，3.0%，进酸浓度：3.2%，3.2%。  
2021-2-900:40中和排水（PH 1# 8.41 2# 7.90）          02:50分再生1#阳床，进酸浓度：3.1%，2.9%  ,2021-2-9清洗2#、3#、4#、5#过滤器     ,2021-2-9清洗5#过滤器                              18:12分再生3#阴床，进碱浓度：2.9%，2.9%     00:35中和排水（PH 1# 8.74 2# 7.41） 
2021-2-10清洗1#、2#、3#过滤器,2021-2-1013:39分再生2#阳床，进酸浓度：3.1%，3.1%  ,"2021-2-10清洗1#、2#、3#、4#、5#过滤器
21:30再生2#阴床，进碱浓度：2.9%，2.9%
阴床计量箱用碱进碱气动阀膜片坏"
2021-2-11清洗1#、2#、4#过滤器                                                                                                                                                                                                                                                     阴床计量箱用碱进碱气动阀膜片坏未有工具处理，待白班处理 2#阴床未再生。,2021-2-11阴床计量箱用碱进碱气动阀膜片坏已更换好新的阀门，10:08分再生2#阴床 进碱浓度：2.9%，2.9%            11:20中和排水（PH 1# 9.73 2# 8.58）                     12:17分再生1#阳床，进酸浓度：3.1%，3.1%,2021-2-11清洗1#、2#、4#过滤器          
,2021-2-1211:00分再生3#混床，进碱浓度：3.0% 3.0%  进酸浓度：3.2% 3.2%                                  15:10分中和排水（PH 1# 7.5 2# 8.3),2021-2-1220:50分再生2#阳床，进酸浓度：2.9%，3.0%。
,2021-2-138:30再生1#阴床，进碱浓度：2.9%，2.9%                                                                                                                                                                                              11：10分中和排水（PH 1# 8.5 2#8.11）                                                                                                                                                                             13：32分再生3#阳床，进酸浓度：3.1%，2.9%  ,2021-2-1318：10分再生3#阴床，进碱浓度：3.1%，3.1%。20:10分中和排水（PH 1# 8.2 2#8.0）               清洗1#、2#、5#过滤器                               22:23分再生1#阳床，进酸浓度：3.0%，3.0%。
2021-2-14清洗1#、2#、3#、4#、5#过滤器   ,2021-2-14清洗2#、4#、5#过滤器                       08:57 再生2#阴床，进碱浓度：2.9%，2.9%                                                                                                                                                                                              11:06 分中和排水（PH 1#7.9 2# 8.64）                                                                                                                                                                             13:59分再生2#阳床，进酸浓度：3.1%，2.9%  ,2021-2-1417:00分再生1#阴床，进碱浓度：3.2% 3.2%             19:20分中和排水（PH 1# 7.5 2# 8.3）             21:45分再生1#阳床，进酸浓度：2.9% 3.0%
2021-2-15清洗1#、2#、3#、4#、5#过滤器                                         6:25分再生2#阳床，进酸浓度：3.1%，2.9% ,2021-2-15清洗2#、4#、5#过滤器                       09:03分中和排水（PH 1# 7.2 2# 8.6）             13:21分再生3#阳床，进酸浓度：2.9% 3.0%,2021-2-15清洗1#、2#、3#、4#、5#过滤器
2021-2-16清洗1#、2#、3#、4#、5#过滤器,2021-2-16清洗4#、5#过滤器,2021-2-1616:50分再生3#阴床，进碱浓度：3.2% 3.2%                19:00中和排水（PH 1# 7.73 2# 6.58）
2021-2-1700:41分再生1#阳床，进酸浓度：2.9% 3.0%         清洗4#、5#过滤器,2021-2-17清洗4#、5#过滤器                                                     12:50分再生2#阴床，进碱浓度：3.2% 3.2%                     15:10中和排水（PH 1# 6.75 2# 7.58）,2021-2-1721:03分再生3#阳床，进酸浓度：2.9% 3.0%         
2021-2-184:51分再生2#阳床，进酸浓度：2.9% 3.0%             7:15分中和排水(PH 1# 7.5 2# 8.3),,2021-2-1817:05分再生1#阳床，进酸浓度：2.9% 3.0%       清洗3#、4#、5#过滤器
2021-2-1905:15分再生3#阴床，进碱浓度：3.0% 3.3%     07:30分中和排水（PH 1# 7.34 2# 8.03）   ,,
2021-2-20清洗3#、4#过滤器                           01:04分再生2#阳床，进酸浓度：2.9% 3.0%    04:21分再生3#阳床，进酸浓度：2.9% 3.0%       07:30分中和排水（PH 1#6.84 2# 8.84） ,2021-2-20清洗4#过滤器  ,2021-2-20清洗1#、2#、3#、5#过滤器                                                                        17:22分再生1#阳床，进酸浓度：2.9% 3.0%            19:30分再生1#阴床，进碱浓度：3.0% 3.3%             21:35分中和排水（PH 1#7.00 2# 9:03）
,2021-2-2115:05分再生3#阴床，进碱浓度：3.0% 3.3%  ,2021-2-2120:30分再生2#阳床，进酸浓度：2.9% 3.0%               22:15分中和排水（PH 1#8.04 2# 8.95）
2021-2-224:41分再生3#阳床，进酸浓度：2.9% 3.0%        清洗3#、4#、5#过滤器 ,2021-2-2214:20再生2#阴床，进碱浓度：2.9%，2.9%,2021-2-22清洗5#过滤器                              16:35分中和排水（PH 1# 7.5 2# 8.2）            21:03再生1#阴床，进碱浓度：3.0% 3.0%
2021-2-23清洗1#、2#、3#过滤器   ,2021-2-23清洗1#、2#、4#过滤器   ,2021-2-2318:10分再生1#阳床，进酸浓度：2.9% 3.0%                                                                                                                                                                                               20:40分中和排水，（PH 1# 7.5 2# 8.2）                                                                                                                                                                                                                                   22:02分再生3#阴床，进碱浓度：3.0% 3.0%
2021-2-24清洗3#、4#、5#过滤器 ,2021-2-2411:45分再生2#阳床，进酸浓度：3.1%，2.9%              14:10中和排水（PH 1# 8.41 2# 7.90）   ,2021-2-2421:09分再生1#阳床，进酸浓度：3.1%，2.9%                 
2021-2-25清洗3#、4#、5#过滤器 ,2021-2-2512.30分再生1#阴床，进碱浓度：3.2% 3.2%             15：45分中和排水（PH 1# 7.5 2# 8.3）  ,2021-2-2520:36分再生3#混床，进碱浓度：3.0% 3.0%；进酸浓度：3.0% 3.0%                       
2021-2-26清洗5#过滤器 ,2021-2-2610:48分中和排水（PH 1# 7.5 2# 8.2）,2021-2-26清洗1#、2#、3#、4#、5#过滤器                       17:25分再生2#阳床，进酸浓度：2.9% 3.0%                                                                                                                                                                                                                                                                                                                                                                                                                                 18:44分再生2#阴床，进碱浓度：3.0% 3.0%    20:46分中和排水，（PH 1# 7.5 2# 8.2）        22:16分再生2#阴床，进碱浓度：3.0% 3.0% 
2021-2-2700:36分再生3#阳床，进酸浓度：3.0% 3.1%    02:42分中和排水，（PH 1# 8.16 2# 7.96）       04:21分再生1#阳床，进酸浓度：3.3% 3.0%  ,2021-2-27清洗4#、5#过滤器                                                     12:00分再生1#阴床，进碱浓度：3.0% 3.0%             14:50分中和排水 （PH 1# 8.16 2# 7.96）,2021-2-2718:15分再生3#阳床，进酸浓度：3.3% 3.0%  
2021-3-1清洗4#过滤器                                      00:11分再生3#阴床，进碱浓度：3.0% 3.0%           ,2021-3-1清洗4#、5#过滤器 ,2021-3-116:14分再生1#阳床，进酸浓度：3.3%，3.2%。  18:00分中和排水（PH 1# 7.5  2# 7.8）          清洗3#、4#、5#过滤器
2021-3-20:40分再生3#阳床，进酸浓度：3.3%，3.2%。            清洗3#、4#、5#过滤器                                7:50分再生1#阳床。  ,"2021-3-210:00分中和排水（PH 1# 8.1  2# 7.8） 
15:30分再生2#阳床，进酸浓度：3.1%，3.1%。   ",2021-3-221:39分再生3#阴床，进碱浓度：3.1% 2.9%  
2021-3-3清洗1#、2#、3#、4#、5#过滤器  ,2021-3-315:27分再生1#阳床，进酸浓度：3.2%，3.1%。,2021-3-317:37分再生1#阴床，进碱浓度：3.1%，3.1%     20:25分中和排水（PH 1# 7.96  2#  8.15）
2021-3-4清洗1#、2#、3#、5#过滤器 ,"2021-3-410:30分再生2#阳床，进酸浓度：3.3%，3.1%。
13:20分再生3#阴床，进碱浓度：3.0%，3.2%。 ","2021-3-416:27分中和排水（PH 1# 8.4  2#5.96）      17:30分再生3#阴床，进碱浓度：3.1%，3.1%。 
20:50分再生2#阳床，进酸浓度：3.1%，3.1%。    23:27分中和排水（PH 1# 5.9  2#7.62） 
"
2021-3-5清洗3#、5#过滤器                                                     1:15分再生1#阳床，进酸浓度：3.1%，3.1%。,2021-3-59:30分中和排水（PH 1# 8.4  2#7.99）   ,2021-3-5清洗1#过滤器 
2021-3-61:32分再生2#阳床，进酸浓度：3.1%，3.3%          4:36分再生3#阴床，进碱浓度：2.9%，3.1%     6:46分中和排水（PH 1# 7.01  2# 6.54）,2021-3-6清洗4#、5#过滤器                                                                               8:09分再生3#阳床，进酸浓度：3.1%，3.3%,2021-3-6清洗4#过滤器                                          18:24分再生3#混床，进酸浓度：3.1%，3.3% 进碱浓度：2.9%，3.1% 
2021-3-7清洗1#过滤器                                1:10分再生1#阴床，进碱浓度：3.3%，3.1%  ,2021-3-7清洗5#过滤器                                                          9:30分再生1#阳床，进酸浓度：3.1%，3.3%               11:20分中和排水（PH 1# 8.03  2# 7.77）,2021-3-7清洗1#、2#、3#、4#.5#过滤器                                                          21:15分再生2#阳床，进酸浓度：3.1%，3.3%  
2021-3-8清洗1#过滤器                              04:35分再生2#阴床，进碱浓度：3.1%，3.1%     6:30分中和排水（PH 1# 5.10  2# 9.23）,"2021-3-88:00分再生3#阴床，进碱浓度：3.2%，3.0%   
10:54分再生1#阳床，进酸浓度：3.1%，3.3%            13:50分中和排水（PH 1#7.4   2# 8.1）",2021-3-8清洗3#、4#、5#过滤器
,"2021-3-913:32分再生2#阳床，进酸浓度：3.0%，3.1%  
15:39分再生1#阴床，进碱浓度：3.0%，3.0%   
    ",2021-3-918:00分中和排水（PH 1#7.5   2# 8.0）               22:03分再生3#阳床，进酸浓度：3.2%，3.2%。
2021-3-10清洗3#、4#、5#过滤器,2021-3-1013:57分再生3#阴床，进碱浓度：3.0%，3.0%   ,2021-3-1022:03分再生2#阳床，进酸浓度：2.9%，3.2%
"2021-3-113:59分再生1#阳床，进酸浓度：3.2%，3.2%。
7:05分中和排水（PH 1#6.5   2# 7.8） ","2021-3-119：20分再生3#阳床，进酸浓度：3.0%，3.2%。
9:47分再生1#混床，进酸浓度：3.2%，3.2%，进碱浓度：3.0%，3.1%。
14:10分中和排水（PH 1#7.7   2# 8.2） ",2021-3-1119：00分再生1#阳床，进酸浓度：3.0%，2.9%
2021-3-12清洗2#、3#过滤器                                               0:02分再生1#阴床，进碱浓度：3.0%，3.0%                2:00分中和排水（PH 1#8.3   2# 8.7）,,2021-3-1217:50分再生2#阳床，进酸浓度：3.0%，2.9%       清洗4#、5#过滤器
2021-3-13清洗1#、2#过滤器,"2021-3-138：30分再生3#阴床，进碱浓度：2.9%，3.1% 
10:35分中和排水（PH 1#7.3   2# 7.9）",2021-3-13清洗1#、4#、5#过滤器
2021-3-144:25分再生1#阳床，进酸浓度：3.1%，2.9%,2021-3-148:42分再生3#阳床，进酸浓度：3.1%，2.9%              10:50分中和排水（PH 1#7.1   2# 7.8）,2021-3-1420:00分再生1#阳床，进酸浓度：3.1%，2.9%      清洗1#、2#、3#、4#、5#过滤器
2021-3-15清洗4#过滤器                                1:13分再生2#阳床，进酸浓度：3.0%，2.9%            4:15分中和排水（PH 1#6.83   2# 7.15）,"2021-3-15清洗5#过滤器   
11:22分再生3#阳床，进酸浓度：3.3%，3.2%  ","2021-3-15清洗1#、2#过滤器   
"
2021-3-16清洗3#、4#、5#过滤器                           6:37分再生2#混床，进酸浓度：3.2%，3.2%，进碱浓度：3.0%，3.1%。,"2021-3-1612:00分中和排水（PH 1#7.88   2# 7.15）
15:22分再生2#阴床，进碱浓度：3.2%，3.1% ",2021-3-1617:56分再生1#阳床，进酸浓度：3.3%，3.2%              19:55分中和排水（PH 1#7.81   2# 8.05）                       21:10分再生3#阴床，进碱浓度：3.2%，3.1%
2021-3-17清洗1#、2#过滤器,,2021-3-1718:25分再生2#阳床，进酸浓度：3.2%，3.2%                20:20分中和排水（PH 1#7.9   2# 8.00）
2021-3-18清洗2#、3#过滤器                           0:39分再生3#阳床，进酸浓度：3.2%，3.2%,"2021-3-189:28分再生1#阴床，进碱浓度：3.0%，3.2%
12:20分中和排水（PH 1#8.5   2# 8.00）",2021-3-18清洗1#、2#、3#过滤器                                    23:00分再生3#阴床，进碱浓度：3.0% 3.2%
2021-3-19清洗1#、2#、3#、4#、5#过滤器                                       7:00分再生1#阳床，进酸浓度：3.2%，3.2%,2021-3-199:30分中和排水（PH 1#8.5   2# 8.20）,2021-3-1920:32分再生2#阳床，进酸浓度：3.2%，3.2%                                                                                                                                                                                        22:57分再生2#阴床，进碱浓度：3.0%  3.0%                                                                                                                                                                                                    
2021-3-201:55分中和排水（PH 1#8.5   2# 8.20）                  清洗1#、2#、3#过滤器。,2021-3-20清洗4#、5#过滤器                                        12:50分再生1#阳床，进酸浓度：3.2%，3.2%   ,
2021-3-214:38分再生3#阳床，进酸浓度：3.2%，3.2%。          7:15分中和排水（PH1# 7.53  2#7.8）,2021-3-21清洗4#、5#过滤器  ,2021-3-21清洗1#、4#过滤器                          20:50分再生3#阴床，进碱浓度：3.0%，3.1%。          
2021-3-22清洗2#过滤器,"2021-3-22清洗4#过滤器
10:26分再生3#阳床，进酸浓度：3.1%，3.0%。          13:00分中和排水（PH1# 7.53  2#8.2）",2021-3-2216:00分再生2#阴床，进碱浓度：3.0%，3.1%。 21:25分再生1#阳床，进酸浓度：3.1%，3.0%。 23:30分中和排水（PH1# 7.53  2#8.2）
2021-3-231:10分再生3#混床，进酸浓度：2.9%，3.1% 进碱浓度：3.0%，3.0%                             5:32分中和排水（PH 1# 6.98  2# 7.41）       7:30分再生1#阳床，进酸浓度：3.1%，3.0%,2021-3-2315:00分中和排水（PH 1# 8.0 2# 7.41）       13:05分再生1#阴床，进碱浓度：2.9%，3.0%,2021-3-2317:00分再生1#阳床，进酸浓度：3.1%，3.0%
2021-3-24清洗1#、2#、3#、4#、5#过滤器 ,2021-3-2414：55分再生3#阴床，进碱浓度：3.1%，3.1%,2021-3-2417:00分中和排水（PH 1# 7.5 2# 7.8）                                 19：42分再生3#阳床，进酸浓度：3.2%，3.2%。                    清洗1#、2#、3#过滤器 
2021-3-25清洗4#、5#过滤器,"2021-3-259：51分再生1#阴床，进碱浓度：3.0%，3.2%
12：10分中和排水（PH 1# 8.0 2# 8.2）   ",2021-3-2519:02分再生1#阳床，进酸浓度：3.0%，3.0%。   20:35分再生2#阴床，进碱浓度：3.1%，3.0%。          22:35分中和排水（PH 1# 7.8 2# 8.0）   
